coreid,cae,const,age,pg_age,degree_count,gift_count,fys_giving,act_consistency,crn_consistency,child_count,event_count,married,gillett
644106,A     ,I     ,27,0,1,2,2,0.666666667,0.333333333,0,0,1,0
644275,A     ,I     ,26,0,1,2,2,0.5,0.333333333,0,0,1,0
644468,A     ,I     ,28,0,1,1,1,1,1,0,0,1,0
644485,A     ,I     ,27,0,1,1,1,1,1,0,0,0,0
644594,A     ,I     ,27,0,1,2,2,0.666666667,0.5,0,0,0,0
644610,A     ,I     ,26,0,2,2,2,1,0.4,0,0,0,0
644764,A     ,I     ,27,0,3,3,2,0.666666667,0.4,0,0,0,0
645139,A     ,I     ,28,0,1,1,1,1,0.5,0,0,0,0
645180,A     ,I     ,27,0,1,1,1,1,0.5,0,0,1,0
645231,A     ,I     ,26,0,1,3,2,0.333333333,0.333333333,0,0,0,0
645244,A     ,I     ,27,0,1,1,1,1,0.25,0,0,0,0
645253,A     ,I     ,27,0,1,3,2,1,0.4,0,0,0,0
645291,A     ,I     ,27,0,2,1,1,1,0.333333333,0,0,0,0
645411,I     ,I     ,0,0,0,1,1,1,0.25,0,0,1,0
645436,A     ,I     ,37,0,1,1,1,1,0.25,0,0,1,0
645500,P     ,I     ,0,0,0,4,4,1,0.571428571,1,0,1,0
645663,P     ,I     ,0,0,0,2,2,0.666666667,0.333333333,0,0,1,0
645864,I     ,I     ,0,0,0,2,2,0.5,0.333333333,0,0,0,0
646282,P     ,I     ,0,0,0,7,6,0.666666667,0.545454545,2,0,1,0
646435,I     ,I     ,0,0,0,3,3,1,0.5,0,0,1,0
646471,I     ,I     ,0,0,0,2,2,0.666666667,0.333333333,0,0,1,0
646740,A     ,I     ,27,0,1,5,3,0.75,0.5,0,0,0,0
646767,I     ,I     ,0,0,0,1,1,1,0.25,0,0,0,0
646919,A     ,I     ,25,0,1,2,2,1,0.5,0,2.197224577,0,0
646991,A     ,I     ,23,0,1,3,2,1,0.5,0,0,0,0
647088,A     ,I     ,24,0,1,1,1,1,0.5,0,1.945910149,0,0
647116,A     ,I     ,24,0,1,1,1,1,0.5,0,0,0,0
647204,A     ,I     ,23,0,1,1,1,1,0.333333333,0,0,0,0
647233,A     ,I     ,23,0,1,2,2,1,1,0,0,1,0
647239,A     ,I     ,26,0,1,2,2,0.5,0.4,0,0,0,0
647380,A     ,I     ,23,0,1,1,1,1,0.333333333,0,0,0,0
647383,A     ,I     ,26,0,1,3,3,0.75,0.75,0,0,0,0
647418,ST    ,I     ,0,0,0,1,1,1,0.25,0,0,0,0
647421,A     ,I     ,24,0,1,1,1,1,0.5,0,0,0,0
647472,A     ,S     ,27,0,1,5,4,1,1,0,1.098612289,1,0
647523,A     ,I     ,23,0,1,1,1,1,1,0,0,0,0
647549,A     ,I     ,25,0,1,2,2,0.666666667,0.5,0,0,0,0
647596,A     ,I     ,26,0,2,2,2,1,0.4,0,0,0,0
647612,A     ,I     ,24,0,1,2,2,0.5,0.5,0,0,0,0
649052,A     ,I     ,31,0,1,1,1,1,1,0,0.693147181,1,0
649168,A     ,I     ,27,0,1,2,2,0.666666667,0.333333333,0,0,0,0
649228,I     ,I     ,33,0,0,2,2,0.5,0.333333333,0,0,1,0
649257,P     ,I     ,0,0,0,3,3,1,0.6,1,1.098612289,1,0
649359,A     ,I     ,48,0,1,2,2,1,0.5,2,0.693147181,1,0
649390,A     ,I     ,26,0,2,2,2,0.666666667,0.333333333,0,0,0,0
649394,I     ,I     ,0,0,0,2,2,0.4,0.333333333,0,0,1,0
649747,I     ,I     ,0,0,0,1,1,1,0.333333333,1,0.693147181,1,0
649862,I     ,I     ,0,0,0,1,1,1,0.333333333,0,0,1,0
650076,A     ,I     ,32,0,1,16,11,1,1,1,0,1,0
650174,A     ,I     ,31,0,1,2,2,1,1,0,0,0,0
650214,A     ,I     ,34,0,1,2,2,0.666666667,0.5,0,0,0,0
650445,A     ,I     ,26,0,1,1,1,1,1,0,0,0,0
650677,A     ,I     ,48,0,1,1,1,1,1,0,0,1,0
650720,A     ,I     ,46,0,1,1,1,1,1,0,0,0,0
650996,P     ,I     ,0,0,0,3,3,1,0.5,1,0,1,0
651184,P     ,I     ,0,0,0,2,2,0.666666667,0.4,1,0,0,0
651264,P     ,I     ,0,0,0,4,4,0.8,0.8,1,0,1,0
651331,P     ,I     ,0,0,0,7,2,1,0.5,1,0,1,0
651385,P     ,I     ,0,0,0,1,1,1,0.25,1,0,1,0
651421,P     ,I     ,0,0,0,1,1,1,0.25,1,0,1,0
651474,P     ,I     ,0,0,0,2,2,1,0.666666667,1,0,1,0
651503,P     ,I     ,0,0,0,2,2,1,0.4,1,0,0,0
651524,P     ,I     ,0,0,0,4,4,1,0.8,2,0,0,0
651805,P     ,I     ,0,0,0,1,1,1,0.333333333,1,0,1,0
652010,P     ,I     ,0,0,0,1,1,1,0.5,1,0,1,0
655188,P     ,I     ,0,0,0,1,1,1,0.25,1,0,1,0
655465,P     ,I     ,0,0,0,1,1,1,0.333333333,1,0,1,0
655506,P     ,I     ,0,0,0,3,2,0.5,0.4,1,0,1,0
655566,P     ,I     ,0,0,0,3,3,1,0.6,1,0,1,0
655782,P     ,I     ,0,0,0,3,3,0.6,0.6,1,0,1,0
656028,P     ,I     ,0,0,0,5,5,1,1,1,0,1,0
656326,P     ,I     ,0,0,0,4,4,1,0.8,1,0,1,0
656327,P     ,I     ,0,0,0,3,3,1,0.6,1,0,1,0
656355,P     ,I     ,0,0,0,6,3,1,0.75,1,0,1,0
656435,P     ,I     ,0,0,0,1,1,1,0.25,1,0,0,0
656440,P     ,I     ,0,0,0,3,3,0.75,0.6,1,0,0,0
656471,P     ,I     ,0,0,0,3,2,1,0.666666667,1,0,1,0
656583,P     ,I     ,0,0,0,1,1,1,0.25,1,0,0,0
656620,P     ,I     ,0,0,0,1,1,1,0.25,1,0,1,0
656715,P     ,I     ,0,0,0,1,1,1,0.5,1,0,1,0
656757,P     ,I     ,0,0,0,2,1,1,0.333333333,2,0,1,0
656811,P     ,I     ,0,0,0,1,1,1,0.25,1,0,1,0
656812,P     ,I     ,0,0,0,3,2,0.5,0.4,2,0,1,0
656944,P     ,I     ,0,0,0,2,2,1,0.4,1,0,1,0
657000,P     ,I     ,0,0,0,2,2,1,0.4,1,0,1,0
657062,P     ,I     ,0,0,0,2,2,0.5,0.4,1,0,0,0
657098,P     ,I     ,0,0,0,1,1,1,0.25,1,0,1,0
657274,P     ,I     ,0,0,0,5,4,1,0.8,3,0,1,0
657292,P     ,I     ,0,0,0,4,2,1,0.4,1,0,1,0
657294,P     ,I     ,0,0,0,5,3,1,0.6,1,0,1,0
657532,P     ,I     ,0,0,0,2,2,1,0.5,1,0,1,0
657562,P     ,I     ,0,0,0,2,2,1,0.5,1,0,1,0
659291,A     ,I     ,27,0,1,2,2,0.5,0.4,0,0,0,0
659312,A     ,I     ,26,0,1,1,1,1,0.5,0,0,0,0
659333,A     ,I     ,26,0,1,1,1,1,0.25,0,0,0,0
659418,ST    ,I     ,23,0,0,1,1,1,0.5,0,0,0,0
659625,ST    ,I     ,0,0,0,2,1,1,0.5,0,1.609437912,0,0
663926,P     ,I     ,0,0,0,1,1,1,1,1,0,1,0
663991,P     ,I     ,0,0,0,2,2,0.5,0.4,1,0,1,0
664023,P     ,I     ,0,0,0,1,1,1,0.5,1,0,1,0
664122,P     ,I     ,0,0,0,2,2,0.666666667,0.5,1,0,1,0
665283,P     ,I     ,0,0,0,1,1,1,1,1,0,0,0
665370,P     ,I     ,0,0,0,1,1,1,0.25,2,0,1,0
665374,P     ,I     ,0,0,0,4,4,1,0.8,1,0,1,0
665941,I     ,S     ,42,0,0,5,5,1,1,0,0,1,0
666969,I     ,S     ,39,0,0,2,2,1,0.666666667,0,0,0,0
666973,I     ,S     ,37,0,0,1,1,1,0.5,0,0,0,0
667135,I     ,S     ,50,0,0,2,2,0.666666667,0.5,0,0,0,0
667140,A     ,S     ,50,0,1,5,5,1,1,0,0,0,0
667509,P     ,I     ,0,0,0,1,1,1,1,1,0,1,0
667766,A     ,I     ,64,0,1,1,1,1,1,0,0,0,0
668058,A     ,I     ,29,0,1,1,1,1,0.333333333,0,0,1,0
668507,A     ,I     ,24,0,1,4,3,1,1,0,0.693147181,0,0
668715,P     ,I     ,0,0,0,3,2,0.5,0.4,1,0,1,0
668788,I     ,I     ,0,0,0,2,2,0.666666667,0.4,0,0,0,0
668900,P     ,I     ,0,0,0,5,3,0.75,0.6,0,0,1,0
