"coreid","gift_count","fys","first_fy","last_fy","act_yrs","unrestricted_count","unrestricted_percent","honmem_count","honmem_percent","event_count","vol_count","group_count","grad_yr","cons_giv_yrs","degree","major","dept","birth_year","birth_month","birth_day","post_direction","pre_direction","street_number","street_type","sub_addr","addr_flag1","addr_flag2","addr_flag3","addr_code1","addr_code2","addr_code3","addr_code4","addr_code5","median_income","annual_two","target"
84585,57,32,-1,2014,2015,14,0.245614,0,0,0,0,0,1976,13,6,9,7,-1,-1,-1,1,1,3107,1,1,1,1,1,19,1,66,2,74,61907,100,1
84600,7,7,1998,2015,18,3,0.428571,0,0,10,0,0,1967,4,3,20,8,1946,7,8,1,1,160,3,1,1,2,2,6,1,288,2,600,53249,250,0
84604,29,28,1984,2014,31,13,0.448276,0,0,0,0,0,1969,0,4,12,8,-1,-1,-1,1,1,1740,4,2,1,1,1,89,1,48,2,361,29883,150,0
84613,15,14,1990,2014,25,9,0.6,0,0,0,0,0,1982,3,4,19,8,-1,-1,-1,1,1,5148,3,1,1,1,1,10,1,35,2,483,20386,100,0
84625,25,13,1984,2014,31,3,0.12,1,0.04,51,3,0,1969,8,4,33,8,-1,-1,-1,1,1,1375,4,1,1,2,2,4,2,313,2,755,70507,1700,1
84628,9,7,1992,2014,23,5,0.555556,0,0,0,0,0,1969,0,3,3,8,1945,4,11,1,1,1864,2,1,1,1,1,25,1,180,2,646,84331,10,0
84635,5,5,2008,2014,7,5,1,0,0,0,0,0,1975,2,4,4,8,-1,-1,-1,1,1,15477,4,1,1,2,2,6,2,165,1,778,111272,100,1
84646,22,13,1997,2014,18,7,0.318182,1,0.0454545,7,0,0,1975,0,4,19,8,-1,-1,-1,1,1,3412,2,1,1,2,2,11,2,269,2,129,70507,300,0
84652,19,16,1982,2014,33,5,0.263158,1,0.0526316,1,0,0,1975,2,4,34,9,-1,-1,-1,1,1,6454,8,1,1,1,1,1,2,142,2,545,62591,500,1
84679,16,16,1990,2014,25,1,0.0625,0,0,0,1,0,1971,2,4,4,8,-1,-1,-1,1,1,1116,6,1,1,2,2,32,1,159,2,166,163632,100,1
84710,33,28,1982,2014,33,21,0.636364,0,0,0,0,0,1974,13,4,34,9,-1,-1,-1,1,1,7266,7,1,1,1,1,51,1,112,2,660,81652,135,1
84723,5,5,1990,2014,25,3,0.6,0,0,0,0,0,1974,0,4,13,3,-1,-1,-1,1,2,2937,6,1,1,2,2,1,2,350,2,378,52889,50,0
84724,7,6,2001,2014,14,6,0.857143,0,0,0,0,0,1969,2,4,5,8,1947,12,1,1,1,1990,4,1,2,1,1,9,2,278,2,904,57859,60,0
84728,26,15,1996,2014,19,5,0.192308,0,0,64,0,0,1969,19,4,12,8,1947,10,8,3,1,1515,6,1,1,2,2,69,1,25,1,151,65260,60,1
84800,57,27,1974,2014,41,17,0.298246,1,0.0175439,60,0,2,1968,21,3,10,8,1946,7,30,1,1,5664,2,1,1,1,1,2,2,190,2,643,56798,28750,1
84810,14,13,1993,2010,18,6,0.428571,0,0,24,0,0,1973,11,4,9,8,-1,-1,-1,2,1,3360,8,1,1,2,3,27,1,180,2,607,56890,1500,1
84838,4,4,2000,2014,15,2,0.5,0,0,0,0,0,1970,0,4,11,8,-1,-1,-1,1,1,520,4,1,1,2,2,183,2,45,1,203,61723,10,0
84853,31,29,1982,2011,30,5,0.16129,0,0,9,0,0,1971,2,3,3,8,1950,3,23,1,1,62,7,1,2,1,1,0,3,0,3,-1,33250,8000,1
84867,11,10,2003,2014,12,0,0,4,0.363636,0,0,1,1994,0,4,13,4,1953,8,1,1,1,2379,3,1,1,1,1,2,2,358,2,790,56798,15,1
84868,21,16,1988,2009,22,5,0.238095,0,0,0,0,0,1975,0,4,12,8,-1,-1,-1,1,1,2529,2,1,1,1,1,76,1,118,1,297,84118,600,0
84869,9,9,1992,2014,23,3,0.333333,0,0,0,0,0,1984,0,7,35,2,-1,-1,-1,1,1,3022,13,1,1,2,2,37,1,16,1,220,44390,25,0
