core_id,method,age,type1,stype1,type2,phone,email,mail,assigned,no_contact,no_phone,no_email,no_mail,no_personal,no_ask,geo_dist,e_sols,m_sols,p_sols
48600,Lockbox,0,I     ,N     ,2,0,0,1,0,0,0,0,0,0,0,2,0,1,0
50159,Staff,0,I     ,N     ,2,1,1,1,0,0,0,0,0,0,0,2,0,1,1
50700,Lockbox,52,I     ,I     ,1,1,1,1,1,0,0,0,0,0,0,2,0,0,1
50783,Online Giving,0,I     ,N     ,2,1,1,1,0,0,0,0,0,0,0,2,0,2,0
50856,TOP Gift,0,I     ,N     ,3,1,1,1,0,0,0,0,0,0,0,2,0,1,1
51116,Lockbox,0,I     ,I     ,1,1,1,1,0,0,0,0,0,0,0,2,1,0,1
51720,Staff,0,I     ,N     ,3,1,0,1,0,0,0,0,0,0,0,2,0,2,1
52527,Staff,0,I     ,N     ,2,0,0,1,0,0,0,0,0,0,0,2,0,0,0
53280,Staff,60,S     ,N     ,3,1,1,1,0,0,0,0,0,0,0,2,2,0,0
53455,Lockbox,83,I     ,I     ,1,1,1,1,1,0,0,1,0,0,0,2,0,3,1
53623,Staff,85,I     ,N     ,3,1,1,1,1,0,0,0,0,0,0,2,1,0,1
53833,Lockbox,0,O     ,N     ,4,0,0,1,0,0,0,0,0,0,0,2,0,1,0
54270,Lockbox,0,C     ,N     ,4,0,0,1,0,0,0,0,0,0,0,2,0,0,0
55014,Staff,0,C     ,N     ,4,0,0,1,0,0,0,0,0,0,0,2,0,1,0
55168,Staff,0,O     ,N     ,4,0,0,1,0,0,0,0,0,0,0,2,0,1,0
55168,Online Giving,0,O     ,N     ,4,0,0,1,0,0,0,0,0,0,0,2,0,1,0
55195,Staff,0,I     ,N     ,2,0,0,1,0,0,0,0,0,0,0,3,0,0,1
55381,Lockbox,86,I     ,N     ,2,1,0,1,0,0,0,0,0,0,0,3,0,1,0
55742,Lockbox,215,I     ,N     ,3,1,1,1,0,0,0,0,0,0,0,2,0,0,0
55749,Lockbox,89,I     ,N     ,2,1,0,1,1,0,0,0,0,0,0,2,0,3,0
55749,Staff,89,I     ,N     ,2,1,0,1,1,0,0,0,0,0,0,2,0,3,0
56512,Staff,0,S     ,N     ,3,1,1,1,0,0,0,0,0,0,0,2,2,0,0
58827,Online Giving,67,I     ,I     ,1,1,1,1,0,0,0,1,0,0,0,1,1,3,0
58827,Staff,67,I     ,I     ,1,1,1,1,0,0,0,1,0,0,0,1,1,3,0
58980,Lockbox,0,I     ,I     ,1,1,1,1,0,0,0,0,0,0,0,2,1,1,1
59474,Online Giving,0,I     ,I     ,1,1,1,1,0,0,0,0,0,0,0,3,0,0,0
62251,Staff,0,cf    ,N     ,4,0,1,1,1,0,0,0,0,0,0,2,1,0,0
62679,Online Giving,0,I     ,N     ,2,1,1,1,0,0,0,0,0,0,0,2,0,0,0
63049,Staff,0,F     ,N     ,5,0,0,1,1,0,0,0,0,0,0,2,0,0,0
63086,Lockbox,0,I     ,N     ,2,1,1,1,0,0,0,0,0,0,0,2,1,0,1
63111,Staff,0,I     ,N     ,2,1,0,1,0,0,0,0,0,0,0,2,0,0,0
63128,Staff,0,I     ,N     ,2,0,1,1,0,0,0,0,0,0,0,3,0,0,0
63262,Lockbox,0,I     ,N     ,2,0,1,1,0,0,0,0,0,0,0,2,0,2,1
63660,Lockbox,0,F     ,N     ,5,0,0,1,1,0,0,0,0,0,0,2,0,0,0
63662,Staff,75,I     ,N     ,3,1,1,1,0,0,0,0,0,0,0,2,3,0,1
64499,Staff,0,cf    ,N     ,4,0,0,1,0,0,0,0,0,0,0,2,0,1,0
65539,Staff,0,I     ,N     ,2,0,0,1,0,0,0,0,0,0,0,2,0,0,0
65829,Staff,0,I     ,I     ,1,1,1,1,1,0,0,0,0,0,0,2,1,0,1
65887,Staff,65,I     ,N     ,2,1,0,1,1,0,0,0,0,0,0,2,0,0,0
66646,Staff,0,I     ,N     ,3,0,1,1,0,0,0,0,0,0,0,2,0,0,1
66901,Lockbox,0,C     ,N     ,4,0,0,1,1,0,0,0,0,0,0,2,0,1,0
66903,Online Giving,0,I     ,I     ,1,1,1,1,0,0,0,0,0,0,0,2,0,2,0
67068,Staff,0,I     ,I     ,1,1,1,1,1,0,0,0,0,0,0,2,2,0,1
67718,Staff,73,I     ,I     ,1,1,1,1,1,0,0,0,0,0,0,2,1,2,0
67748,Staff,0,C     ,N     ,4,0,0,1,0,0,0,0,0,0,0,2,0,0,0
68555,Staff,0,I     ,I     ,1,1,1,1,0,0,0,0,0,0,0,2,0,2,0
68712,Lockbox,0,F     ,N     ,5,0,0,1,0,0,0,0,0,0,0,2,0,1,0
69973,Staff,0,I     ,N     ,2,1,1,1,0,0,0,1,0,0,0,2,0,1,0
69973,Online Giving,0,I     ,N     ,2,1,1,1,0,0,0,1,0,0,0,2,0,1,0
72591,Staff,72,I     ,I     ,1,1,1,1,1,0,0,0,0,0,0,2,0,2,1
72591,Lockbox,72,I     ,I     ,1,1,1,1,1,0,0,0,0,0,0,2,0,2,1
72629,Lockbox,0,I     ,I     ,1,1,1,1,0,0,0,1,0,0,0,2,1,2,1
72643,Staff,0,I     ,I     ,1,1,1,1,1,0,0,0,0,0,0,2,0,1,1
72759,Online Giving,0,I     ,I     ,1,1,1,1,0,0,0,1,0,0,0,2,1,0,1
72774,Staff,0,I     ,I     ,1,1,1,1,1,0,0,0,0,0,0,2,2,1,1
72788,Online Giving,70,I     ,N     ,3,1,1,1,1,0,0,0,0,0,0,2,1,1,1
72788,Lockbox,70,I     ,N     ,3,1,1,1,1,0,0,0,0,0,0,2,1,1,1
72795,Lockbox,0,I     ,I     ,1,1,1,1,0,0,0,0,0,0,0,2,1,0,1
72842,Lockbox,0,I     ,I     ,1,1,1,1,0,0,0,0,0,0,0,2,0,1,0
72850,Staff,0,I     ,I     ,1,1,1,1,1,0,0,0,0,0,0,2,0,1,0
72858,Online Giving,0,I     ,I     ,1,1,1,1,1,0,0,1,0,0,0,2,0,3,1
72858,Staff,0,I     ,I     ,1,1,1,1,1,0,0,1,0,0,0,2,0,3,1
72863,Lockbox,93,I     ,N     ,3,1,0,1,1,0,0,0,0,0,0,2,0,0,1
72868,Online Giving,0,I     ,I     ,1,1,1,1,0,0,0,0,0,0,0,2,0,1,0
72896,Staff,0,I     ,I     ,1,1,1,1,0,0,0,0,0,0,0,2,0,1,1
72930,Staff,80,I     ,N     ,3,1,1,1,0,0,0,0,0,0,0,2,1,0,1
72933,Lockbox,0,I     ,I     ,1,1,0,1,0,0,0,0,0,0,0,2,0,2,1
72977,Lockbox,57,I     ,I     ,1,1,1,1,0,0,0,0,0,0,0,2,1,1,0
72977,Staff,57,I     ,I     ,1,1,1,1,0,0,0,0,0,0,0,2,1,1,0
73317,Lockbox,51,I     ,I     ,1,1,1,1,1,0,0,0,0,0,0,2,0,0,1
73366,Lockbox,0,I     ,S     ,1,1,1,1,0,0,0,1,0,0,0,2,0,0,0
73513,Staff,0,I     ,N     ,3,1,0,1,1,0,0,0,0,0,0,3,0,1,0
73551,Staff,0,I     ,N     ,2,1,1,1,0,0,0,0,0,0,0,2,0,1,1
74331,Staff,0,comf  ,N     ,5,0,1,1,0,0,0,0,0,0,0,2,1,0,0
74500,Staff,69,I     ,I     ,1,1,1,1,1,0,0,0,0,0,0,2,0,0,0
74537,Online Giving,0,I     ,I     ,1,1,1,1,0,0,0,0,0,0,0,2,0,1,1
74675,Online Giving,0,I     ,N     ,3,1,1,1,0,0,0,0,0,0,0,2,0,0,0
74813,Staff,0,I     ,I     ,1,1,1,1,0,0,0,0,0,0,0,1,1,0,1
74818,Lockbox,0,I     ,N     ,2,1,0,1,0,0,0,0,0,0,0,2,0,1,1
74956,Staff,0,I     ,I     ,1,1,0,1,0,0,0,0,0,0,0,2,0,1,0
75114,TOP Gift,0,I     ,N     ,3,1,1,1,0,0,0,0,0,0,0,2,0,1,1
75271,Staff,0,F     ,N     ,5,0,0,1,0,0,0,0,0,0,0,2,0,0,0
75272,Staff,44,I     ,I     ,1,1,1,1,0,0,0,0,0,0,0,2,2,0,0
75367,Staff,0,C     ,N     ,4,0,0,1,0,0,0,0,0,0,0,2,0,0,0
75715,Lockbox,81,I     ,I     ,1,1,1,1,1,0,0,0,0,0,0,2,0,4,1
75715,Staff,81,I     ,I     ,1,1,1,1,1,0,0,0,0,0,0,2,0,4,1
75767,Lockbox,81,I     ,I     ,1,1,1,1,0,0,0,0,0,0,0,3,2,1,0
75779,Lockbox,0,I     ,I     ,1,1,1,1,0,0,0,0,0,0,0,2,1,0,1
75784,Lockbox,87,I     ,I     ,1,1,1,1,0,0,0,0,0,0,0,3,2,0,0
75803,Staff,78,I     ,N     ,3,1,0,1,0,0,0,0,0,0,0,2,0,1,0
75844,Online Giving,0,I     ,I     ,1,1,1,1,0,1,0,0,0,0,0,2,0,1,0
75977,Staff,40,I     ,I     ,1,1,1,1,1,0,0,0,0,0,0,2,1,0,1
76049,Lockbox,72,I     ,I     ,1,1,1,1,1,0,0,0,0,0,0,2,4,0,1
76049,Staff,72,I     ,I     ,1,1,1,1,1,0,0,0,0,0,0,2,4,0,1
76056,Lockbox,0,I     ,I     ,1,1,0,1,0,0,0,0,0,0,0,2,0,1,1
77081,Staff,0,CA    ,N     ,4,0,0,1,0,0,0,0,0,0,0,2,0,0,0
77358,Staff,0,C     ,N     ,4,0,0,1,1,0,0,0,0,0,0,2,0,1,0
77633,Staff,0,I     ,N     ,2,1,1,1,0,0,0,0,0,0,0,2,0,0,0
77843,Lockbox,0,I     ,I     ,1,1,1,1,0,0,0,0,0,0,0,2,1,1,1
77936,Lockbox,74,I     ,I     ,1,1,1,1,1,0,0,0,0,0,0,2,0,1,0
77936,Staff,74,I     ,I     ,1,1,1,1,1,0,0,0,0,0,0,2,0,1,0
